List1,List2
0,1.0
1,1.0077620757545946
2,1.0490386403213263
3,1.1061797065015455
4,1.185702614215744
5,1.274632662390455
6,1.3738651811376419
7,1.4463482280213982
8,1.597230697979974
9,1.7423650851128112
10,1.8569711028178377
11,2.01230881914861
12,2.1118357042783327
13,2.2639943107198874
14,2.3840835638301687
15,2.5153281620659227
16,2.7225545686238837
17,2.8167318181128587
18,2.928005603663362
19,3.104155481900584
20,3.2473944223744793
21,3.393621716735805
22,3.5209411162566098
23,3.594197301214194
24,3.9148106276260557
25,3.9443211220874868
26,4.145067234434304
27,4.3119587430755395
28,4.4534230176635115
29,4.582041016303758
30,4.842027569299292
31,4.832374045470257
32,5.152231168989707
33,5.163096969555131
34,5.329942847290883
35,5.41729592430162
36,5.655456791825106
37,5.782391621601247
38,6.102158424153144
39,6.112179347334573
40,6.263891758787977
41,6.415711426390352
42,6.684794053493299
43,6.628931946326294
44,6.787682336923317
45,6.9111205221586856
46,7.089057062035334
47,7.4397390382628075
48,7.61794983399406
49,7.569804524492447
